Aluno,Lab,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Corretos,Incorretos,Branco,Nota
2417,487,1105.0,6.5,6.0,6.0,1.0,0.0,0.305,516.5,2,0,0,10.0
2417,497,162829.77777777778,14.555555555555555,9.333333333333334,22.33333333333333,3.111111111111111,0.0,0.3177777777777777,1019.2222222222223,9,0,0,10.0
2417,505,174318.0,13.166666666666664,11.833333333333336,39.0,7.0,0.013333333333333334,0.2633333333333333,979.6666666666665,6,0,0,10.0
2417,539,513.5,9.5,9.5,5.5,1.0,0.0,0.205,493.5,2,0,0,10.0
2417,542,192162.88888888888,27.33333333333333,21.66666666666667,48.88888888888889,10.777777777777779,0.005555555555555557,0.2577777777777778,2861.222222222222,9,0,0,10.0
2417,543,104242.66666666669,17.166666666666668,16.666666666666668,39.5,8.0,0.0033333333333333327,0.19333333333333336,1498.0,5,1,0,8.33333
2417,576,3041.5,21.0,20.0,24.0,4.5,0.01,0.175,1423.5,0,2,0,0.0
2417,605,183391.5833333333,21.5,11.416666666666664,17.75,1.9166666666666667,0.017499999999999998,0.2391666666666667,638.9166666666666,12,0,0,10.0
2417,606,33647.0,8.0,7.0,22.33333333333333,3.0,0.006666666666666667,0.16333333333333333,470.66666666666674,2,0,6,2.5
2417,627,1449.0,15.5,14.0,10.5,0.5,0.005,0.16499999999999998,688.5,1,0,1,5.0
2417,640,379379.45454545453,15.636363636363635,13.727272727272727,17.363636363636363,2.0,0.013636363636363636,0.15727272727272731,573.2727272727273,11,0,0,10.0
2417,658,23.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,0,0,5,0.0
2417,675,2822.5,14.5,14.0,31.0,7.5,0.005,0.215,741.5,0,2,0,0.0
2417,684,165658.3,15.8,11.1,19.5,2.2,0.002,0.207,999.7,10,0,0,10.0
2417,685,405.5,6.5,6.5,0.5,0.0,0.005,0.22000000000000006,226.0,0,0,5,0.0
